trip_id	household_id	person_n	trip_n	travel_mode	purpose	fueltype	faretype	bus_scale	survey_year	travel_year	travel_month	travel_date	day_of_week	start_time	age	female	driving_license	car_ownership	distance	dur_walking	dur_cycling	dur_pt_access	dur_pt_rail	dur_pt_bus	dur_pt_int	pt_interchanges	dur_driving	cost_transit	cost_driving_fuel	cost_driving_ccharge	driving_traffic_percent
14991	3180	0	2	1	3	1	5	0	1	2012	9	28	5	14	75	1	0	1	504	0.121666667	0.034722222	0.090555556	0	0.033333333	0	0	0.031944444	0	0.09	0	0
56951	12230	0	0	4	1	6	5	0	3	2014	5	3	6	7.25	66	1	1	0	1291	0.3975	0.1675	0.270555556	0	0.050555556	0	0	0.08	0	0.28	0	0.135417
46487	9923	3	1	3	2	6	3	0	2	2013	11	19	2	15.33333333	13	1	0	0	2150	0.568888889	0.165	0.363611111	0	0.071111111	0	0	0.152777778	0	0.4	0	0.318182
13626	2896	0	0	4	2	2	1	1	1	2012	9	11	2	8	42	1	1	2	1482	0.379166667	0.109722222	0.217222222	0	0.085	0	0	0.085833333	1.5	0.22	0	0.0550162
76528	16553	2	0	3	5	6	4	1	3	2015	1	7	3	18	26	1	1	0	12131	3.003888889	0.951388889	0.201111111	0.416666667	0.05	0.1	1	0.8525	4.1	2.22	0	0.588465
76497	16549	0	0	4	4	1	1	1	3	2015	1	7	3	6.5	52	0	1	2	3612	1.118611111	0.3425	0.295555556	0	0.247222222	0	0	0.174722222	1.5	0.76	0	0.0922099
10472	2190	1	1	4	1	1	1	1	1	2012	7	31	2	18	57	1	1	1	7216	1.644444444	0.473611111	0.088055556	0	0.622777778	0	0	0.435	1.5	1.22	0	0.46424
67575	14602	0	3	4	2	2	1	1	3	2014	9	12	5	15.75	47	0	1	1	3270	0.873333333	0.256388889	0.168055556	0.033333333	0.331388889	0.15	1	0.2775	3.2	0.65	0	0.232232
37946	8099	2	2	3	3	1	4	0.5	2	2013	8	4	7	2.416666667	20	0	0	1	5098	1.230277778	0.353055556	0.3825	0	0.182222222	0.181111111	1	0.281666667	1.5	0.9	0	0.13215
44591	9525	3	1	4	2	2	2	0	2	2013	10	23	3	12.5	16	0	0	1	7663	1.887222222	0.578888889	0.233888889	0.3	0	0.1	1	0.505833333	0.75	1.47	0	0.373421
44808	9575	0	2	4	3	2	1	1	2	2013	10	26	6	11.5	33	0	1	2	14036	3.402777778	1.161666667	0.075833333	0.2	0.785277778	0.340277778	3	0.74	7.1	2.03	0	0.174925
19368	4093	1	0	3	1	6	1	1	1	2012	11	15	4	6.833333333	40	0	1	0	5613	1.392777778	0.547222222	0.2925	0.133333333	0	0	0	0.554722222	2.4	1.31	10.5	0.624937
61657	13217	4	0	4	2	1	5	0	3	2014	6	27	5	8.333333333	9	0	0	2	2882	0.739166667	0.213611111	0.225555556	0	0.245277778	0.108055556	1	0.195277778	0	0.56	0	0.331437
14659	3116	0	0	4	2	6	1	1	1	2012	9	24	1	7.5	51	1	1	2	3155	0.839722222	0.241666667	0.191111111	0	0.333333333	0	0	0.163333333	1.5	0.51	0	0.248299
32857	7078	0	2	4	3	2	1	1	2	2013	6	11	2	14.5	37	1	1	2	2765	0.674722222	0.212222222	0.184444444	0	0.3375	0	0	0.161666667	1.5	0.43	0	0.324742
69198	14953	2	2	4	3	2	5	0	3	2014	10	3	5	16.26666667	5	1	0	2	2583	0.7875	0.325555556	0.141666667	0	0.223333333	0.15	1	0.177222222	0	0.53	0	0.286834
79156	17159	2	1	4	5	1	4	0.5	3	2015	2	12	4	16	23	0	1	1	8920	2.333611111	0.9025	0.155555556	0	1.263333333	0.203333333	1	0.742222222	1.5	2.13	0	0.22268
18307	3879	0	2	3	3	6	1	1	1	2012	11	2	5	11	54	1	0	0	5206	1.161111111	0.352777778	0.104444444	0	0.378333333	0	0	0.301111111	1.5	0.82	0	0.322878
36059	7698	0	0	4	3	1	1	1	2	2013	7	13	6	13.5	47	1	1	2	1932	0.530277778	0.167222222	0.261666667	0.033333333	0	0	0	0.1475	1.5	0.39	0	0.212806
6078	1240	0	0	4	1	1	1	1	1	2012	6	15	5	9	58	1	1	2	7508	1.731111111	0.511666667	0.219166667	0.166666667	0	0	0	0.329166667	2.4	1.09	0	0.244726
53657	11489	3	0	3	2	6	4	1	2	2014	2	27	4	7.5	19	0	0	0	6840	1.886388889	0.590277778	0.122777778	0.2	0.175	0.166666667	2	0.575555556	2.65	1.56	0	0.407819
31416	6767	2	0	1	2	1	5	0	2	2013	5	24	5	8.25	7	1	0	1	1057	0.233611111	0.096666667	0.185555556	0	0.0325	0	0	0.085	0	0.22	0	0.366013
67841	14660	0	0	4	1	2	1	1	3	2014	9	16	2	7	46	1	1	1	3554	0.830277778	0.253333333	0.230277778	0	0.322222222	0	0	0.183055556	1.5	0.58	0	0.230653
12200	2590	2	3	1	3	1	2	0	1	2012	8	24	5	18	16	0	1	1	1665	0.485555556	0.153888889	0.243888889	0.05	0	0	0	0.180555556	0.85	0.58	0	0.123077
28150	6099	1	1	4	3	1	1	1	2	2013	4	13	6	16.5	29	1	1	2	23467	5.516944444	1.738333333	0.150277778	1.033333333	0.096111111	0.266666667	2	1.297222222	7.6	4.13	0	0.525054
39620	8484	0	0	4	3	1	5	0	2	2013	8	26	1	14	82	0	1	2	4557	1.165277778	0.405833333	0.260277778	0	0.383333333	0	0	0.294444444	0	0.9	0	0.178302
12097	2568	0	5	4	3	1	5	0	1	2012	8	23	4	17.66666667	75	1	1	1	4518	1.116944444	0.323888889	0.083888889	0	0.393333333	0.116666667	1	0.284722222	0	0.8	0	0.242927
28943	6266	0	0	4	1	2	1	1	2	2013	4	22	1	7	57	1	1	1	1844	0.486666667	0.116666667	0.049166667	0	0.130555556	0.15	1	0.138611111	3	0.37	0	0.352705
78030	16899	0	1	4	3	1	5	0	3	2015	1	26	1	12	69	0	1	2	2103	0.554444444	0.150833333	0.151111111	0	0.18	0	0	0.115833333	0	0.38	0	0.17506
10729	2252	0	3	1	5	6	1	1	1	2012	8	3	5	19.5	25	0	0	0	1445	0.352222222	0.201666667	0.101944444	0.066666667	0	0	0	0.226944444	2.4	0.46	0	0.730722
844	204	0	0	1	5	2	1	1	1	2012	4	15	7	13.25	28	0	1	1	910	0.221666667	0.092222222	0.123055556	0	0.042777778	0	0	0.068611111	1.5	0.16	0	0.186235
13345	2837	1	2	1	3	1	1	1	1	2012	9	8	6	18	48	0	1	1	1199	0.401111111	0.152222222	0.216388889	0	0.129444444	0	0	0.110277778	1.5	0.31	0	0.450882
65669	14149	2	0	4	3	1	5	0	3	2014	8	18	1	12	9	0	0	2	1470	0.357222222	0.118611111	0.071666667	0	0.085277778	0	0	0.087777778	0	0.25	0	0.151899
70423	15238	2	2	3	5	3	5	0	3	2014	10	18	6	13	7	0	0	2	11770	2.519166667	0.718333333	0.185555556	0.45	0	0	0	0.7425	0	2.13	0	0.500187
