	id	rp	sp	choice	purpose	npersons	age	employ_status	mainearn	arrival_time	gender	rail_ivtt	rail_cost	rail_transfers	rail_acc_time	rail_egr_time	rail_acc_mode	rail_egr_mode	seat_status	car_ivtt	car_cost	car_walk_time	car_parking_fee	rail_comfort	rp_transfer	rp_choice	rp_rail_ovt	rp_car_ovt	Weights
0	1	1	0	0	0	3	0	0	0	0	1	2.0	40.0	0	0.33299999999999996	0.16699999999999998	0	0	0	1.0	5.0	0.16699999999999998	0	-1	0	0	0.5	0.16699999999999998	0.8390317612040569
1	2	1	0	0	0	5	0	1	0	0	1	1.633	35.0	0	0.133	0.25	0	0	0	1.5	9.0	0.017	1	-1	0	0	0.38299999999999995	0.017	0.8390317612040569
2	3	1	0	0	0	2	0	0	0	0	0	1.5	24.0	0	0.5	0.017	1	1	0	1.633	11.5	0.33299999999999996	0	-1	0	0	0.517	0.33299999999999996	0.6294429649167823
3	4	1	0	0	0	3	1	1	1	0	0	1.0	7.8	1	0.5	0.25	0	1	0	1.5	8.333	0.5	1	-1	1	0	0.75	0.5	1.535783546262419
4	5	1	0	0	0	3	0	0	0	0	1	1.6669999999999998	28.0	1	0.2	0.16699999999999998	1	0	0	1.25	5.0	0.017	1	-1	1	0	0.36700000000000005	0.017	0.8390317612040569
5	6	1	0	1	1	1	1	0	0	1	0	1.75	31.2	1	0.16699999999999998	0.16699999999999998	0	0	1	1.5	90.0	0.083	1	-1	1	1	0.33399999999999996	0.083	1.535783546262419
6	7	1	0	0	0	5	1	1	1	0	0	2.0	40.0	0	0.5	0.16699999999999998	0	1	0	2.5	3.2	0.05	0	-1	0	0	0.667	0.05	1.535783546262419
7	8	1	0	0	1	2	0	0	0	1	1	1.083	45.0	0	0.25	0.75	0	0	1	1.4169999999999998	13.0	0.067	1	-1	0	0	1.0	0.067	0.8390317612040569
8	9	1	0	1	1	1	0	0	0	1	0	2.5	42.0	1	0.16699999999999998	0.583	0	0	0	2.0	45.0	0.083	1	-1	1	1	0.75	0.083	0.6294429649167823
9	10	1	0	1	0	2	0	0	1	0	0	1.25	52.0	0	0.11699999999999999	0.16699999999999998	0	1	0	1.5830000000000002	25.0	0.41700000000000004	1	-1	0	1	0.284	0.41700000000000004	0.6294429649167823
10	11	1	0	1	0	1	0	1	0	1	0	1.8330000000000002	27.0	1	0.16699999999999998	0.033	0	1	0	1.5	35.0	0.033	0	-1	1	1	0.2	0.033	0.6294429649167823
11	12	1	0	0	0	3	1	1	0	0	1	2.0	30.0	2	0.083	0.25	1	0	0	2.0	10.0	0.33299999999999996	0	-1	2	0	0.33299999999999996	0.33299999999999996	1.6383383900657613
12	13	1	0	0	0	2	0	1	0	0	0	2.0	40.0	1	0.16699999999999998	0.083	1	1	0	1.5	17.0	0.083	0	-1	1	0	0.25	0.083	0.6294429649167823
13	14	1	0	0	0	1	0	0	1	0	0	1.75	25.0	2	0.25	0.41700000000000004	1	0	0	1.167	34.0	0.017	1	-1	2	0	0.667	0.017	0.6294429649167823
14	15	1	0	0	0	4	0	0	1	0	0	1.4169999999999998	35.0	0	0.33299999999999996	0.25	0	0	0	1.4169999999999998	9.75	0.0	1	-1	0	0	0.583	0.0	0.6294429649167823
15	16	1	0	1	1	1	0	0	1	1	0	1.8330000000000002	52.5	0	0.25	0.41700000000000004	0	1	1	2.0	20.0	0.25	1	-1	0	1	0.667	0.25	0.6294429649167823
16	17	1	0	0	0	2	0	1	0	1	0	1.5	25.0	1	0.33299999999999996	0.25	0	0	0	1.4169999999999998	5.0	0.1	0	-1	1	0	0.583	0.1	0.6294429649167823
17	18	1	0	0	0	2	1	1	0	0	1	2.0	40.0	1	0.41700000000000004	0.25	0	1	0	1.5	20.0	0.25	0	-1	1	0	0.667	0.25	1.6383383900657613
18	19	1	0	0	0	2	0	1	0	0	0	1.25	30.0	0	0.25	0.25	0	0	0	1.25	8.0	0.16699999999999998	1	-1	0	0	0.5	0.16699999999999998	0.6294429649167823
19	20	1	0	0	1	1	0	0	1	1	0	1.3330000000000002	28.0	0	0.33299999999999996	0.33299999999999996	0	0	0	1.5	30.0	0.017	1	-1	0	0	0.6659999999999999	0.017	0.6294429649167823
20	21	1	0	0	0	4	1	1	1	0	0	1.5	28.0	1	0.5	0.5	0	0	0	1.75	5.5	0.017	1	-1	1	0	1.0	0.017	1.535783546262419
21	22	1	0	1	0	2	0	0	1	0	0	1.5	35.0	1	0.16699999999999998	0.25	1	0	0	1.75	15.0	0.033	1	-1	1	1	0.41700000000000004	0.033	0.6294429649167823
22	23	1	0	1	0	2	0	1	0	1	0	1.167	35.0	0	0.16699999999999998	0.16699999999999998	0	1	0	1.3330000000000002	17.5	0.16699999999999998	1	-1	0	1	0.33399999999999996	0.16699999999999998	0.6294429649167823
23	24	1	0	0	0	2	0	1	0	0	0	1.5	40.0	0	0.16699999999999998	0.33299999999999996	0	0	0	1.3330000000000002	20.0	0.017	1	-1	0	0	0.5	0.017	0.6294429649167823
24	25	1	0	0	0	1	0	0	1	1	0	2.0	35.0	1	0.083	0.16699999999999998	0	1	0	1.5	35.0	0.033	1	-1	1	0	0.25	0.033	0.6294429649167823
25	26	1	0	0	0	4	1	1	1	0	0	1.25	35.0	1	0.33299999999999996	0.5	0	0	0	2.5	3.75	0.083	1	-1	1	0	0.833	0.083	1.535783546262419
26	27	1	0	1	0	2	0	1	0	1	1	1.5	28.0	0	0.33299999999999996	0.25	1	0	0	1.75	5.0	0.017	1	-1	0	1	0.583	0.017	0.8390317612040569
27	28	1	0	1	0	2	0	1	1	1	1	1.5	24.5	0	0.16699999999999998	0.133	1	0	0	2.25	10.0	0.25	0	-1	0	1	0.3	0.25	0.8390317612040569
28	29	1	0	0	0	4	0	1	0	1	0	2.0	35.0	2	0.16699999999999998	0.16699999999999998	0	1	0	2.0	2.5	0.16699999999999998	1	-1	2	0	0.33399999999999996	0.16699999999999998	0.6294429649167823
29	30	1	0	0	0	4	1	0	1	0	0	1.5	35.0	1	0.5	0.5	0	0	0	1.5	12.5	0.017	1	-1	1	0	1.0	0.017	1.535783546262419
30	31	1	0	1	0	2	1	1	1	0	0	2.0	10.0	0	0.33299999999999996	0.083	0	0	0	2.5	22.5	0.33299999999999996	1	-1	0	1	0.41600000000000004	0.33299999999999996	1.535783546262419
31	32	1	0	1	1	1	1	0	1	1	0	1.3330000000000002	37.0	0	0.11699999999999999	0.16699999999999998	0	0	1	1.9169999999999998	15.0	0.083	0	-1	0	1	0.284	0.083	1.535783546262419
32	33	1	0	0	0	2	1	0	1	1	1	1.5	37.5	0	0.5	0.33299999999999996	0	0	0	1.5	7.5	0.05	1	-1	0	0	0.833	0.05	1.6383383900657613
33	34	1	0	0	0	2	0	1	0	0	1	1.5	38.0	0	0.25	0.25	0	1	0	1.75	15.0	0.25	0	-1	0	0	0.5	0.25	0.8390317612040569
34	35	1	0	0	0	4	1	0	1	0	0	2.0	40.0	1	0.33299999999999996	0.25	0	0	0	1.25	7.5	0.017	1	-1	1	0	0.583	0.017	1.535783546262419
35	36	1	0	0	0	2	0	0	1	0	0	1.5	75.0	1	0.5	0.75	0	0	0	2.5	12.5	0.083	0	-1	1	0	1.25	0.083	0.6294429649167823
36	37	1	0	0	0	2	0	1	1	1	1	3.0	52.0	2	0.16699999999999998	0.16699999999999998	0	0	0	1.25	11.0	0.083	1	-1	2	0	0.33399999999999996	0.083	0.8390317612040569
37	38	1	0	0	0	2	0	0	0	1	1	1.5	36.0	1	0.16699999999999998	0.41700000000000004	0	1	0	1.25	25.0	0.16699999999999998	1	-1	1	0	0.584	0.16699999999999998	0.8390317612040569
38	39	1	0	1	1	1	0	0	1	1	0	1.5	40.0	1	0.16699999999999998	0.11699999999999999	0	0	0	1.167	60.0	0.033	1	-1	1	1	0.284	0.033	0.6294429649167823
39	40	1	0	1	1	1	1	0	1	1	0	1.75	60.0	1	0.16699999999999998	0.33299999999999996	0	1	1	2.25	25.0	0.0	0	-1	1	1	0.5	0.0	1.535783546262419
40	41	1	0	0	0	2	1	0	1	0	0	2.0	40.0	1	0.33299999999999996	0.16699999999999998	0	0	0	1.25	49.995	0.017	1	-1	1	0	0.5	0.017	1.535783546262419
41	42	1	0	0	0	4	1	0	1	0	0	1.25	34.0	0	0.25	0.41700000000000004	0	0	0	1.25	11.25	0.017	0	-1	0	0	0.667	0.017	1.535783546262419
42	43	1	0	1	0	4	0	0	1	1	0	2.0	35.0	1	0.25	0.25	1	0	0	2.0	9.375	0.017	1	-1	1	1	0.5	0.017	0.6294429649167823
43	44	1	0	0	0	1	0	1	0	1	1	2.0	50.0	2	0.33299999999999996	0.5	0	0	0	2.0	36.0	0.017	1	-1	2	0	0.833	0.017	0.8390317612040569
44	45	1	0	0	0	3	0	1	0	0	0	1.75	30.0	0	0.083	0.0	1	1	0	1.5	11.333	0.0	0	-1	0	0	0.083	0.0	0.6294429649167823
45	46	1	0	0	0	4	0	0	1	0	0	1.5	33.0	1	0.25	0.33299999999999996	0	0	0	1.0	3.125	0.083	1	-1	1	0	0.583	0.083	0.6294429649167823
46	47	1	0	0	0	3	0	0	0	0	1	1.167	32.0	1	0.25	0.083	0	1	0	1.167	5.0	0.083	0	-1	1	0	0.33299999999999996	0.083	0.8390317612040569
47	48	1	0	0	0	4	0	1	0	0	0	1.8330000000000002	40.0	0	0.16699999999999998	0.25	1	0	0	2.0	6.25	0.083	1	-1	0	0	0.41700000000000004	0.083	0.6294429649167823
48	49	1	0	0	0	2	0	1	1	0	0	1.3330000000000002	45.0	1	0.16699999999999998	0.25	0	1	0	1.5	11.0	0.083	1	-1	1	0	0.41700000000000004	0.083	0.6294429649167823
49	50	1	0	1	0	1	1	1	1	1	1	1.5	10.0	0	0.25	0.33299999999999996	0	0	1	1.75	31.0	0.083	1	-1	0	1	0.583	0.083	1.6383383900657613
50	51	1	0	1	1	1	1	0	1	1	0	1.75	60.3	1	0.11699999999999999	0.133	0	1	1	1.75	23.0	0.017	0	-1	1	1	0.25	0.017	1.535783546262419
51	53	1	0	0	0	2	0	1	0	1	0	1.5	40.0	0	0.16699999999999998	0.25	0	0	0	2.0	4.995	0.25	0	-1	0	0	0.41700000000000004	0.25	0.6294429649167823
52	54	1	0	0	0	2	1	1	1	0	1	1.5	42.5	1	0.1	0.083	1	1	0	1.5	7.5	0.083	0	-1	1	0	0.183	0.083	1.6383383900657613
